producto,marca,grupo,precio,precio_lista,super,url
Pan BIMBO integral artesano 530g,artesano,bimbo,195,,devoto,https://www.devoto.com.uy/product/pan-bimbo-integral-artesano-530g/660290
Pan BIMBO integral artesano 530g,artesano,bimbo,195,,disco,https://www.disco.com.uy/product/pan-bimbo-integral-artesano-530g/660290
Pan Blanco Artesano BIMBO con Masa Madre 500 gr,artesano,bimbo,206,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-blanco-artesano-bimbo-con-masa-madre-500-gr.producto?381170,,42"
Pan Blanco Bimbo Artesano 500 G,artesano,bimbo,190,190,tata,https://www.tata.com.uy/pan-blanco-bimbo-artesano-500-g-823/p
Pan blanco BIMBO artesano 540 g,artesano,bimbo,169,,devoto,https://www.devoto.com.uy/product/pan-blanco-bimbo-artesano-540-g/660362
Pan blanco BIMBO artesano 540 g,artesano,bimbo,169,,disco,https://www.disco.com.uy/product/pan-blanco-bimbo-artesano-540-g/660362
Pan brioche BIMBO artesano x4 240 g,artesano,bimbo,123,,devoto,https://www.devoto.com.uy/product/pan-brioche-bimbo-artesano-x4-240-g/661630
Pan brioche BIMBO artesano x4 240 g,artesano,bimbo,123,,disco,https://www.disco.com.uy/product/pan-brioche-bimbo-artesano-x4-240-g/661630
Pan De Papa Bimbo Artesano 4U 300 G,artesano,bimbo,123,123,tata,https://www.tata.com.uy/pan-de-papa-bimbo-artesano-4u-300-g-138617/p
Pan de papa para hamburguesa artesano BIMBO 300 g,artesano,bimbo,123,,devoto,https://www.devoto.com.uy/product/pan-de-papa-para-hamburguesa-artesano-bimbo-300-g/663951
Pan de papa para hamburguesa artesano BIMBO 300 g,artesano,bimbo,123,,disco,https://www.disco.com.uy/product/pan-de-papa-para-hamburguesa-artesano-bimbo-300-g/663951
Pan Hamburguesa Artesano 240 G,artesano,bimbo,135,135,tata,https://www.tata.com.uy/pan-hamburguesa-artesano-240-g-117854/p
Pan Integral Artesano BIMBO con Masa Madre 530 gr,artesano,bimbo,239,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-integral-artesano-bimbo-con-masa-madre-530-gr.producto?1525201,,42"
Pan Integral Bimbo Artesano 500 G,artesano,bimbo,191,191,tata,https://www.tata.com.uy/pan-integral-bimbo-artesano-500-g-86737/p
Pan para hamburguesa x4 BIMBO artesano 240 g,artesano,bimbo,109,,devoto,https://www.devoto.com.uy/product/pan-para-hamburguesa-x4-bimbo-artesano-240-g/661650
Pan para hamburguesa x4 BIMBO artesano 240 g,artesano,bimbo,109,,disco,https://www.disco.com.uy/product/pan-para-hamburguesa-x4-bimbo-artesano-240-g/661650
Pan Tortuga BIMBO Artesano 4 Unidades,artesano,bimbo,124,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-tortuga-bimbo-artesano-4-unidades.producto?1541518,,42"
Pan Tortuga de Papa Artesano BIMBO 300 gr,artesano,bimbo,127,,tiendainglesa,"https://www.tiendainglesa.com.uy/supermercado/pan-tortuga-de-papa-artesano-bimbo-300-gr.producto?1560386,,42"
Madalena Bimbo Rellena Dulce De Leche 190 G,bimbo,bimbo,117,117,tata,https://www.tata.com.uy/madalena-bimbo-rellena-dulce-de-leche-190-g-152701/p
Madalenas Bimbo Vainilla 200 G,bimbo,bimbo,135,135,tata,https://www.tata.com.uy/madalenas-bimbo-vainilla-200-g-152700/p
