producto,marca,grupo,precio,precio_lista,pvp_sugerido,gap_pct,estado_sugerido,producto_sugerido,fuente_sugerido,super,sku,url
Pan Bimbo Artesano Blanco 530Gr,artesano,bimbo,209.9,209.9,,,,,,eldorado,7148,https://www.eldorado.com.uy/pan-bimbo-artesano-blanco-530gr/p
Pan Bimbo Artesano Integral 530Gr,artesano,bimbo,194.9,194.9,,,,,,eldorado,19971,https://www.eldorado.com.uy/pan-bimbo-artesano-integral-530gr/p
Pan Bimbo Artesano Tortuga 240Gr,artesano,bimbo,134.9,134.9,,,,,,eldorado,25005,https://www.eldorado.com.uy/pan-bimbo-artesano-tortuga-240gr/p
Pan BIMBO integral artesano 530g,artesano,bimbo,195,,,,,,,disco,660290,https://www.disco.com.uy/product/pan-bimbo-integral-artesano-530g/660290
Pan Blanco Artesano BIMBO con Masa Madre 500 gr,artesano,bimbo,206,,,,,,,tiendainglesa,381170,"https://www.tiendainglesa.com.uy/supermercado/pan-blanco-artesano-bimbo-con-masa-madre-500-gr.producto?381170,,42"
Pan Blanco Bimbo Artesano 500 G,artesano,bimbo,190,190,,,,,,tata,823,https://www.tata.com.uy/pan-blanco-bimbo-artesano-500-g-823/p
Pan blanco BIMBO artesano 540 g,artesano,bimbo,169,,,,,,,disco,660362,https://www.disco.com.uy/product/pan-blanco-bimbo-artesano-540-g/660362
Pan brioche BIMBO artesano x4 240 g,artesano,bimbo,123,,,,,,,disco,661630,https://www.disco.com.uy/product/pan-brioche-bimbo-artesano-x4-240-g/661630
Pan De Papa Bimbo Artesano 300gr,artesano,bimbo,134.9,134.9,,,,,,eldorado,31802,https://www.eldorado.com.uy/pan-de-papa-bimbo-artesano-300gr/p
Pan De Papa Bimbo Artesano 4U 300 G,artesano,bimbo,118,118,,,,,,tata,138617,https://www.tata.com.uy/pan-de-papa-bimbo-artesano-4u-300-g-138617/p
Pan de papa para hamburguesa artesano BIMBO 300 g,artesano,bimbo,123,,,,,,,disco,663951,https://www.disco.com.uy/product/pan-de-papa-para-hamburguesa-artesano-bimbo-300-g/663951
Pan Hamburguesa Artesano 240 G,artesano,bimbo,123,123,,,,,,tata,117854,https://www.tata.com.uy/pan-hamburguesa-artesano-240-g-117854/p
Pan Integral Artesano BIMBO con Masa Madre 530 gr,artesano,bimbo,239,,,,,,,tiendainglesa,1525201,"https://www.tiendainglesa.com.uy/supermercado/pan-integral-artesano-bimbo-con-masa-madre-530-gr.producto?1525201,,42"
Pan Integral Bimbo Artesano 500 G,artesano,bimbo,191,191,,,,,,tata,86737,https://www.tata.com.uy/pan-integral-bimbo-artesano-500-g-86737/p
Pan para hamburguesa x4 BIMBO artesano 240 g,artesano,bimbo,109,,,,,,,disco,661650,https://www.disco.com.uy/product/pan-para-hamburguesa-x4-bimbo-artesano-240-g/661650
Pan Tortuga BIMBO Artesano 4 Unidades,artesano,bimbo,124,,,,,,,tiendainglesa,1541518,"https://www.tiendainglesa.com.uy/supermercado/pan-tortuga-bimbo-artesano-4-unidades.producto?1541518,,42"
Pan Tortuga de Papa Artesano BIMBO 300 gr,artesano,bimbo,127,,,,,,,tiendainglesa,1560386,"https://www.tiendainglesa.com.uy/supermercado/pan-tortuga-de-papa-artesano-bimbo-300-gr.producto?1560386,,42"
Madalena Bimbo Rellena Dulce De Leche 190 G,bimbo,bimbo,117,117,,,,,,tata,152701,https://www.tata.com.uy/madalena-bimbo-rellena-dulce-de-leche-190-g-152701/p
Madalenas Bimbo Vainilla 200 G,bimbo,bimbo,135,135,,,,,,tata,152700,https://www.tata.com.uy/madalenas-bimbo-vainilla-200-g-152700/p
Madalenas Rellenas de Dulce de Leche BIMBO 180 gr,bimbo,bimbo,143,,,,,,,tiendainglesa,420355,"https://www.tiendainglesa.com.uy/supermercado/madalenas-rellenas-de-dulce-de-leche-bimbo-180-gr.producto?420355,,42"
Magdalenas Bimbo Rellenas Dulce De Leche 180Gr,bimbo,bimbo,114.9,114.9,,,,,,eldorado,5562,https://www.eldorado.com.uy/magdalenas-bimbo-rellenas-dulce-de-leche-180gr/p
MAGDALENAS BIMBO VAINILLA 200Gr,bimbo,bimbo,134.9,134.9,,,,,,eldorado,3047,https://www.eldorado.com.uy/magdalenas-bimbo-vainilla-200gr/p
Pan Bimbo Brioche Tortuga 240Gr,bimbo,bimbo,123,123,,,,,,eldorado,25006,https://www.eldorado.com.uy/pan-bimbo-brioche-tortuga-240gr/p
PAN BIMBO INTEGRAL 620Gr,bimbo,bimbo,173,173,,,,,,eldorado,5610,https://www.eldorado.com.uy/pan-bimbo-integral-620gr/p
Pan BIMBO Lacteado Fuente de Vitamina D 570 gr,bimbo,bimbo,164,,,,,,,tiendainglesa,1565118,"https://www.tiendainglesa.com.uy/supermercado/pan-bimbo-lacteado-fuente-de-vitamina-d-570-gr.producto?1565118,,42"
Pan Bimbo Lacteado Grande 570Gr,bimbo,bimbo,167,167,,,,,,eldorado,4835,https://www.eldorado.com.uy/pan-bimbo-lacteado-grande-570gr/p
PAN BIMBO LACTEADO MEDIANO 400Gr,bimbo,bimbo,157,157,,,,,,eldorado,5636,https://www.eldorado.com.uy/pan-bimbo-lacteado-mediano-400gr/p
Pan Bimbo Mix Cereales Vital 540 G,bimbo,bimbo,208,208,,,,,,tata,136884,https://www.tata.com.uy/pan-bimbo-mix-cereales-vital-540-g-136884/p
Pan Bimbo Tortuga Sesamo 6Un 280Gr,bimbo,bimbo,147,147,,,,,,eldorado,5725,https://www.eldorado.com.uy/pan-bimbo-tortuga-sesamo-6un-280gr/p
Pan BIMBO Vital con Semillas 510 gr,bimbo,bimbo,227,,,,,,,tiendainglesa,283815,"https://www.tiendainglesa.com.uy/supermercado/pan-bimbo-vital-con-semillas-510-gr.producto?283815,,42"
Pan Blanco Bimbo Cero 500 G,bimbo,bimbo,183,183,,,,,,tata,117856,https://www.tata.com.uy/pan-blanco-bimbo-cero-500-g-117856/p
Pan Blanco BIMBO Cero Cero 500 gr,bimbo,bimbo,199,,,,,,,tiendainglesa,1541427,"https://www.tiendainglesa.com.uy/supermercado/pan-blanco-bimbo-cero-cero-500-gr.producto?1541427,,42"
Pan blanco en rodajas BIMBO cero 500 g,bimbo,bimbo,192,,,,,,,disco,661652,https://www.disco.com.uy/product/pan-blanco-en-rodajas-bimbo-cero-500-g/661652
Pan con semillas BIMBO vital 540 g,bimbo,bimbo,225,,,,,,,disco,201109,https://www.disco.com.uy/product/pan-con-semillas-bimbo-vital-540-g/201109
Pan De Molde Bimbo Vital Mix De Cereales 540Gr,bimbo,bimbo,219.9,219.9,,,,,,eldorado,23298,https://www.eldorado.com.uy/pan-de-molde-bimbo-vital-mix-de-cereales-540gr/p
Pan de Viena BIMBO (8 un.) 300 g,bimbo,bimbo,135,,,,,,,tiendainglesa,1570746,"https://www.tiendainglesa.com.uy/supermercado/pan-de-viena-bimbo-8-un.-300-g.producto?1570746,,42"
PAN DE VIENA BIMBO 8UN 300Gr,bimbo,bimbo,129.9,129.9,,,,,,eldorado,8490,https://www.eldorado.com.uy/pan-de-viena-bimbo-8un-300gr/p
Pan de viena BIMBO x8 unidades 300 g,bimbo,bimbo,134,,,,,,,disco,601904,https://www.disco.com.uy/product/pan-de-viena-bimbo-x8-unidades-300-g/601904
Pan Hamurguesa Brioche 300 G,bimbo,bimbo,120,120,,,,,,tata,117853,https://www.tata.com.uy/pan-hamurguesa-brioche-300-g-117853/p
Pan Integral BIMBO 620 g,bimbo,bimbo,186,,,,,,,disco,602534,https://www.disco.com.uy/product/pan-integral-bimbo-620-g/602534
Pan integral BIMBO cero 520 g,bimbo,bimbo,218,,,,,,,disco,661651,https://www.disco.com.uy/product/pan-integral-bimbo-cero-520-g/661651
Pan Integral Bimbo Cero 520 G,bimbo,bimbo,205,205,,,,,,tata,117855,https://www.tata.com.uy/pan-integral-bimbo-cero-520-g-117855/p
Pan Integral BIMBO Cero Cero 520 gr,bimbo,bimbo,220,,,,,,,tiendainglesa,1541426,"https://www.tiendainglesa.com.uy/supermercado/pan-integral-bimbo-cero-cero-520-gr.producto?1541426,,42&campaign=search_facets"
Pan Integral Con Miel Bimbo 660 G,bimbo,bimbo,159,175,,,,,,tata,822,https://www.tata.com.uy/pan-integral-con-miel-bimbo-660-g-822/p
Pan Integral con Miel BIMBO 660 gr,bimbo,bimbo,193,,,,,,,tiendainglesa,331558,"https://www.tiendainglesa.com.uy/supermercado/pan-integral-con-miel-bimbo-660-gr.producto?331558,,42"
PAN LACTAL BIMBO CERO CERO 580Gr,bimbo,bimbo,184.9,184.9,,,,,,eldorado,2449,https://www.eldorado.com.uy/pan-lactal-bimbo-cero-cero-580gr/p
